"muni_code" "ayear" "cover_class" "area_ha"
"2101707" "1988" 11 2722.149
"2101707" "1988" 12 18331.759
"2101707" "1988" 15 0.804
"2101707" "1988" 21 14.555
"2101707" "1988" 23 49693.27
"2101707" "1988" 24 554.623
"2101707" "1988" 25 6001.408
"2101707" "1988" 32 173.79
"2101707" "1988" 33 6997.605
"2101707" "1989" 3 120850.5
"2101707" "1989" 4 94376.31
"2101707" "1989" 5 3680.09
"2101707" "1989" 11 2731.702
"2101707" "1989" 12 18240.59
"2101707" "1989" 15 2.233
"2101707" "1989" 21 10.715
"2101707" "1989" 23 51174.798
"2101707" "1989" 24 592.484
"2101707" "1989" 25 4864.784
"2101707" "1989" 32 178.88
"2101707" "1989" 33 7018.153
"2101707" "1990" 3 120570.958
"2101707" "1990" 4 94675.303
"2101707" "1990" 5 3648.3
"2101707" "1990" 11 2776.441
"2101707" "1990" 12 18164.065
"2101707" "1990" 15 1.607
"2101707" "1990" 21 12.769
"2101707" "1990" 23 51713.764
"2101707" "1990" 24 624.185
"2101707" "1990" 25 4379.403
"2101707" "1990" 32 217.548
"2101707" "1990" 33 6967.706
"2101707" "1991" 3 120860.005
"2101707" "1991" 4 94341.777
"2101707" "1991" 5 3552.926
"2101707" "1991" 11 2493.623
"2101707" "1991" 12 17660.494
"2101707" "1991" 15 0.179
"2101707" "1991" 21 12.412
"2101707" "1991" 23 52596.288
"2101707" "1991" 24 628.828
"2101707" "1991" 25 3736.93
"2101707" "1991" 32 471.613
"2101707" "1991" 33 7475.386
"2101707" "1992" 3 121188.825
"2101707" "1992" 4 94381.272
"2101707" "1992" 5 3416.383
"2101707" "1992" 11 2361.456
"2101707" "1992" 12 18580.133
"2101707" "1992" 15 0.714
"2101707" "1992" 21 11.698
"2101707" "1992" 23 52506.436
"2101707" "1992" 24 656.063
"2101707" "1992" 25 3604.76
"2101707" "1992" 32 870.095
"2101707" "1992" 33 6235.384
"2101707" "1993" 3 121127.909
"2101707" "1993" 4 94474.4
