"muni_code" "ayear" "cover_class" "area_ha"
"1708254" "2011" 15 26997.28
"1708254" "2011" 21 1721.634
"1708254" "2011" 24 132.381
"1708254" "2011" 25 238.91
"1708254" "2011" 33 12.539
"1708254" "2011" 39 2123.029
"1708254" "2011" 41 2379.156
"1708254" "2012" 3 5742.734
"1708254" "2012" 4 21340.558
"1708254" "2012" 11 205.783
"1708254" "2012" 12 1604.845
"1708254" "2012" 15 26689.687
"1708254" "2012" 21 1527.262
"1708254" "2012" 24 132.91
"1708254" "2012" 25 230.958
"1708254" "2012" 33 11.656
"1708254" "2012" 39 1378.855
"1708254" "2012" 41 3581.005
"1708254" "2013" 3 5745.793
"1708254" "2013" 4 21213.936
"1708254" "2013" 11 205.695
"1708254" "2013" 12 1461.058
"1708254" "2013" 15 26528.154
"1708254" "2013" 21 1722.085
"1708254" "2013" 24 133.264
"1708254" "2013" 25 250.485
"1708254" "2013" 33 9.978
"1708254" "2013" 39 1549.879
"1708254" "2013" 41 3625.928
"1708254" "2014" 3 5753.8
"1708254" "2014" 4 21146.661
"1708254" "2014" 11 205.518
"1708254" "2014" 12 1431.284
"1708254" "2014" 15 26011.772
"1708254" "2014" 21 1853.326
"1708254" "2014" 24 133.175
"1708254" "2014" 25 216.302
"1708254" "2014" 33 8.124
"1708254" "2014" 39 3183.549
"1708254" "2014" 41 2502.743
"1708254" "2015" 3 5769.78
"1708254" "2015" 4 20590.344
"1708254" "2015" 11 205.43
"1708254" "2015" 12 1370.155
"1708254" "2015" 15 26251.938
"1708254" "2015" 21 1721.506
"1708254" "2015" 24 133.087
"1708254" "2015" 25 216.48
"1708254" "2015" 33 8.477
"1708254" "2015" 39 4682.486
"1708254" "2015" 41 1496.572
"1708254" "2016" 3 5803.786
"1708254" "2016" 4 20464.452
"1708254" "2016" 11 205.518
"1708254" "2016" 12 1185.66
"1708254" "2016" 15 26266.663
"1708254" "2016" 21 1400.463
"1708254" "2016" 24 132.999
"1708254" "2016" 25 214.268
"1708254" "2016" 33 8.035
"1708254" "2016" 39 6174.761
"1708254" "2016" 41 589.65
"1708254" "2017" 3 5831.16
"1708254" "2017" 4 20334.105
"1708254" "2017" 11 206.137
"1708254" "2017" 12 1052.023
"1708254" "2017" 15 26020.872
"1708254" "2017" 21 1200.545
"1708254" "2017" 24 133.529
"1708254" "2017" 25 195.54
"1708254" "2017" 33 9.537
"1708254" "2017" 39 6418.83
"1708254" "2017" 41 1043.978
"1708254" "2018" 3 5986.413
"1708254" "2018" 4 20011.869
"1708254" "2018" 11 205.96
"1708254" "2018" 12 993.118
"1708254" "2018" 15 26589.476
"1708254" "2018" 21 1207.504
"1708254" "2018" 24 134.765
"1708254" "2018" 25 196.068
"1708254" "2018" 33 9.625
"1708254" "2018" 39 5531.856
"1708254" "2018" 41 1579.601
"1708254" "2019" 3 5916.333
"1708254" "2019" 4 19561.307
"1708254" "2019" 11 205.96
"1708254" "2019" 12 962.041
"1708254" "2019" 15 27600.77
"1708254" "2019" 21 1559.229
"1708254" "2019" 24 135.03
"1708254" "2019" 25 221.503
"1708254" "2019" 33 10.331
"1708254" "2019" 39 4902.371
"1708254" "2019" 41 1371.379
"1708254" "2020" 3 5934.591
"1708254" "2020" 4 19040.47
"1708254" "2020" 11 205.43
"1708254" "2020" 12 868.784
"1708254" "2020" 15 27611.462
"1708254" "2020" 21 1958.654
"1708254" "2020" 24 135.03
"1708254" "2020" 25 354.426
"1708254" "2020" 33 12.009
"1708254" "2020" 39 4661.285
"1708254" "2020" 41 1664.114
