"CD_MUN","class_values","year","area_ha"
"2108058",33,2014,2956.38554426404
"2108058",0,2015,387.217826239369
"2108058",3,2015,33828.9413281025
"2108058",4,2015,26794.2765284565
"2108058",5,2015,2041.01171104142
"2108058",11,2015,2708.23742943828
"2108058",12,2015,18224.6068901516
"2108058",15,2015,2035.14010745964
"2108058",21,2015,32.680587226543
"2108058",23,2015,8139.28524882191
"2108058",24,2015,292.723065072387
"2108058",25,2015,581.263552455464
"2108058",32,2015,297.54758163292
"2108058",33,2015,2910.12841978601
"2108058",0,2016,387.753644817582
"2108058",3,2016,33801.6175175109
"2108058",4,2016,26836.2454875997
"2108058",5,2016,2021.72338211304
"2108058",11,2016,2708.77311671745
"2108058",12,2016,18055.3982675214
"2108058",15,2016,2197.11060303103
"2108058",21,2016,33.8415528639415
"2108058",23,2016,8259.84250103868
"2108058",24,2016,293.883960319806
"2108058",25,2016,585.281319195871
"2108058",32,2016,289.689228827366
"2108058",33,2016,2801.89969432651
"2108058",0,2017,388.021545960791
"2108058",3,2017,33952.3490509678
"2108058",4,2017,26710.0712387189
"2108058",5,2017,2003.59589150674
"2108058",11,2017,2687.52104654932
"2108058",12,2017,17939.5026270791
"2108058",15,2017,2231.20558044123
"2108058",21,2017,42.68170028612
"2108058",23,2017,8091.42088933206
"2108058",24,2017,293.973258798918
"2108058",25,2017,788.530339046962
"2108058",32,2017,288.528536349791
"2108058",33,2017,2855.65857084555
"2108058",0,2018,387.66434278254
"2108058",3,2018,34134.415940678
"2108058",4,2018,26477.1055797409
"2108058",5,2018,2003.86381308015
"2108058",11,2018,2747.8853183302
"2108058",12,2018,18116.5778374979
"2108058",15,2018,1954.02768021422
"2108058",21,2018,44.735496320329
"2108058",23,2018,8066.86272760115
"2108058",24,2018,293.526762674741
"2108058",25,2018,897.834401502512
"2108058",32,2018,282.009985242615
"2108058",33,2018,2866.55039022004
"2108058",0,2020,387.396439498139
"2108058",3,2020,34482.5680960994
"2108058",4,2020,25824.8210475172
"2108058",5,2020,2005.73909997034
"2108058",11,2020,2917.99313041618
"2108058",12,2020,18864.8957205251
"2108058",15,2020,1498.69443113281
"2108058",21,2020,96.3486731357794
"2108058",23,2020,7496.40442825913
"2108058",24,2020,295.044854498871
"2108058",25,2020,1793.60854495219
"2108058",32,2020,173.689257931365
